,ids,growth,status
430,{'RNTR4'},0.7097712093950246,optimal
431,{'SUCR'},0.7097712093950246,optimal
432,{'TDPAGTA'},0.7097712093950246,optimal
433,{'BPNT'},-4.63028608265172e-13,optimal
434,{'RB15BPtcx'},0.7097712093950653,optimal
435,{'ZISO'},0.7097712093951717,optimal
436,{'DASYN181_9'},0.7097712093951717,optimal
437,{'NABTNO'},0.7097712093951717,optimal
438,{'PSD140'},0.7097712093951717,optimal
439,{'SEPHCHCS'},0.7097712093951717,optimal
440,{'PIt2rpp'},0.7097712095519566,optimal
441,{'NDPK7'},0.7097712093949934,optimal
442,{'ACCOAC'},-4.484271647767682e-11,optimal
443,{'HXAD'},0.7097712103049383,optimal
444,{'EX_buts_e'},0.7097712093951791,optimal
445,{'CHOLID'},0.7097712093951791,optimal
446,{'ALLULPE'},0.7097712093951791,optimal
447,{'AAMYLpp'},0.7097712093951791,optimal
448,{'AM4PA'},0.7097712093951791,optimal
449,{'POR'},0.7097712093951636,optimal
450,{'ATPSu'},0.7097712093949061,optimal
451,{'G3PD1'},0.7097712093949061,optimal
452,{'ARGSL'},0.7097712093949061,optimal
453,{'DPHAPC121'},0.7097712093949061,optimal
454,{'NO3abcpp'},0.7097712093949061,optimal
455,{'GLYC2Pabcpp'},0.7097712093949061,optimal
456,{'MOHMT'},-2.6285742559611134e-12,optimal
457,{'PIt2r'},0.7088534327927414,optimal
458,{'GM1LIPAabcpp'},0.709771209395032,optimal
459,{'EX_acac_e'},0.7097712093951241,optimal
460,{'MOTH3'},0.7097712093951241,optimal
461,{'OXCOAHDH'},0.7097712093951241,optimal
462,{'DASYN181'},0.7097712093951241,optimal
463,{'S4FE4ST'},0.7097712093951241,optimal
464,{'EX_glyc_e'},0.7097712093951241,optimal
465,{'UMPtex'},0.7097712093951241,optimal
466,{'T4HCINNMtpp'},0.7097712093951241,optimal
467,{'GALabcpp'},0.7097712093951241,optimal
468,{'CRNCDH'},0.7097712093951241,optimal
