compartment,formula,member_count,metabolite_ids,metabolite_id_name_pairs,new
c,R,4,fdxox_c | fdxrd_c | mclPHAg_c | phbg_c,fdxox_c:Oxidized ferredoxin | fdxrd_c:Reduced ferredoxin | mclPHAg_c:Medium-chain length Polyhydroxyalkanoate growing. | phbg_c:Growing PHB granule,
c,X,4,dsbdox_c | grxox_c | lplarg_c | trdox_c,dsbdox_c:Fused thiol:disulfide interchange protein (oxidized) | grxox_c:Glutaredoxin (oxidized) | lplarg_c:Lipoyl carrier protein LarG | trdox_c:Oxidized thioredoxin,
c,XH2,4,dhlplarg_c | dsbdrd_c | grxrd_c | trdrd_c,dhlplarg_c:Dihydrolipoyl carrier protein LarG | dsbdrd_c:Fused thiol:disulfide interchange protein (reduced) | grxrd_c:Glutaredoxin (reduced) | trdrd_c:Reduced thioredoxin,
e,C10H12N5O7P,2,amp_e | dgmp_e,amp_e:AMP | dgmp_e:DGMP,
e,C10H13N5O4,2,adn_e | dgsn_e,adn_e:Adenosine | dgsn_e:Deoxyguanosine,
e,C12H20O10,2,dextrin_e | starch_e,dextrin_e:Dextrin C12H20O10 | starch_e:Starch C12H20O10,
e,C12H22O11,4,cellb_e | malt_e | sucr_e | tre_e,cellb_e:Cellobiose | malt_e:Maltose | sucr_e:Sucrose | tre_e:Trehalose,
e,C3H7NO2,2,ala__D_e | ala__L_e,ala__D_e:D-Alanine | ala__L_e:L-Alanine,
e,C3H7O6P,2,glyc2p_e | glyc3p_e,glyc2p_e:Glycerol 2-phosphate | glyc3p_e:Glycerol 3-phosphate,
e,C4H4O5,2,mal__D_e | mal__L_e,mal__D_e:D-Malate | mal__L_e:L-Malate,
e,C4H4O6,2,tartr__D_e | tartr__L_e,tartr__D_e:D-tartrate | tartr__L_e:L-tartrate,
e,C4H7O2,2,but_e | ibt_e,but_e:Butyrate (n-C4:0) | ibt_e:Isobutyrate,
e,C5H10O5,3,arab__L_e | rib__D_e | xyl__D_e,arab__L_e:L-Arabinose | rib__D_e:D-Ribose | xyl__D_e:D-Xylose,
e,C5H11NO2,2,glyb_e | val__L_e,glyb_e:Glycine betaine | val__L_e:L-Valine,
e,C6H11O9P,3,f6p_e | g1p_e | g6p_e,f6p_e:D-Fructose 6-phosphate | g1p_e:D-Glucose 1-phosphate | g6p_e:D-Glucose 6-phosphate,
e,C6H12O6,5,fru_e | gal_e | glc__D_e | inost_e | man_e,fru_e:D-Fructose | gal_e:D-Galactose | glc__D_e:D-Glucose | inost_e:Myo-Inositol | man_e:D-Mannose,
e,C6H13NO2,2,ile__L_e | leu__L_e,ile__L_e:L-Isoleucine | leu__L_e:L-Leucine,
e,C6H9O7,2,5dglcn_e | glcur_e,5dglcn_e:5-Dehydro-D-gluconate | glcur_e:D-Glucuronate,
e,C74H114N14O40,2,murein4p4p_e | murein5p3p_e,"murein4p4p_e:Two linked disacharide tetrapeptide murein units (uncrosslinked, middle of chain) | murein5p3p_e:Two linked disacharide pentapeptide and tripeptide murein units (uncrosslinked, middle of chain)",
e,C8H8O3,2,mand_e | vanln_e,mand_e:Mandelate | vanln_e:Vanillin,
e,CU,2,cu2_e | cu_e,cu2_e:Copper | cu_e:Cu+,
e,FE,2,fe2_e | fe3_e,fe2_e:Fe2+ mitochondria | fe3_e:Fe3+,
e,Z,15,photon410_e | photon430_e | photon450_e | photon470_e | photon490_e | photon510_e | photon530_e | photon550_e | photon570_e | photon590_e | photon610_e | photon630_e | photon650_e | photon670_e | photon690_e,"photon410_e:Photon (400nm-420nm) | photon430_e:Photon (420nm-440nm) | photon450_e:Photon (417 to 472 nm, indigo/blue) | photon470_e:Photon (460nm-480nm) | photon490_e:Photon (451 to 526 nm, blue/green) | photon510_e:Photon (500nm-520nm) | photon530_e:Photon (520nm-540nm) | photon550_e:Photon (540nm-560nm) | photon570_e:Photon (560nm-580nm) | photon590_e:Photon (580nm-600nm) | photon610_e:Photon (600nm-620nm) | photon630_e:Photon (620nm-640nm) | photon650_e:Photon (640nm-660nm) | photon670_e:Photon (660nm-680nm) | photon690_e:Photon (680nm-700nm)",
p,C10H12N5O7P,3,3amp_p | amp_p | dgmp_p,3amp_p:3  AMP C10H12N5O7P | amp_p:AMP C10H12N5O7P | dgmp_p:DGMP,
p,C10H12N5O8P,2,3gmp_p | gmp_p,3gmp_p:Guanosine 3  phosphate C10H12N5O8P | gmp_p:GMP C10H12N5O8P,
p,C10H13N5O4,2,adn_p | dgsn_p,adn_p:Adenosine | dgsn_p:Deoxyguanosine,
p,C12H22O11,5,lcts_p | malt_p | melib_p | sucr_p | tre_p,lcts_p:Lactose | malt_p:Maltose C12H22O11 | melib_p:Melibiose | sucr_p:Sucrose C12H22O11 | tre_p:Trehalose,
p,C17H36NO7P1,2,1agpe120_p | 2agpe120_p,1agpe120_p:1-Acyl-sn-glycero-3-phosphoethanolamine (n-C12:0) | 2agpe120_p:2-Acyl-sn-glycero-3-phosphoethanolamine (n-C12:0),
p,C19H38NO7P1,2,1agpe141_p | 2agpe141_p,1agpe141_p:1-Acyl-sn-glycero-3-phosphoethanolamine (n-C14:1) | 2agpe141_p:2-Acyl-sn-glycero-3-phosphoethanolamine (n-C14:1),
p,C21H42NO7P1,2,1agpe161_p | 2agpe161_p,1agpe161_p:1-Acyl-sn-glycero-3-phosphoethanolamine (n-C16:1) | 2agpe161_p:2-Acyl-sn-glycero-3-phosphoethanolamine (n-C16:1),
p,C21H44NO7P1,2,1agpe160_p | 2agpe160_p,1agpe160_p:1-Acyl-sn-glycero-3-phosphoethanolamine (n-C16:0) | 2agpe160_p:2-Acyl-sn-glycero-3-phosphoethanolamine (n-C16:0),
p,C22H44O9P1,2,1agpg160_p | 2agpg160_p,1agpg160_p:1-Acyl-sn-glycero-3-phosphoglycerol (n-C16:0) | 2agpg160_p:2-Acyl-sn-glycero-3-phosphoglycerol (n-C16:0),
p,C36H62O31,2,14glucan_p | malthx_p,"14glucan_p:1,4-alpha-D-glucan | malthx_p:Maltohexaose",
p,C3H7NO2,2,ala__D_p | ala__L_p,ala__D_p:D-Alanine | ala__L_p:L-Alanine,
p,C3H7O6P,2,glyc2p_p | glyc3p_p,glyc2p_p:Glycerol 2-phosphate | glyc3p_p:Glycerol 3-phosphate,
p,C4H4O5,2,mal__D_p | mal__L_p,mal__D_p:D-Malate | mal__L_p:L-Malate,
p,C4H4O6,2,tartr__D_p | tartr__L_p,tartr__D_p:D-tartrate | tartr__L_p:L-tartrate,
p,C4H9NO3,2,hom__L_p | thr__L_p,hom__L_p:L-Homoserine | thr__L_p:L-Threonine,
p,C5H10O5,4,arab__L_p | rib__D_p | xyl__D_p | xylu__L_p,arab__L_p:L-Arabinose | rib__D_p:D-Ribose | xyl__D_p:D-Xylose | xylu__L_p:L-Xylulose,
p,C5H11NO2,2,glyb_p | val__L_p,glyb_p:Glycine betaine | val__L_p:L-Valine,
p,C6H11O9P,3,f6p_p | g1p_p | g6p_p,f6p_p:D-Fructose 6-phosphate | g1p_p:D-Glucose 1-phosphate | g6p_p:D-Glucose 6-phosphate,
p,C6H12O6,6,all__D_p | fru_p | gal_p | glc__D_p | inost_p | man_p,all__D_p:D-Allose | fru_p:D-Fructose | gal_p:D-Galactose | glc__D_p:D-Glucose | inost_p:Myo-Inositol | man_p:D-Mannose,
p,C6H13NO2,2,ile__L_p | leu__L_p,ile__L_p:L-Isoleucine | leu__L_p:L-Leucine,
p,C6H14O6,3,galt_p | mnl_p | sbt__D_p,galt_p:Galactitol | mnl_p:D-Mannitol | sbt__D_p:D-Sorbitol,
